ID,kindom,phylum,class,order,family,genus,species
OTU6284,Bacteria,Elusimicrobia,Elusimicrobia,FAC88,,,
OTU6285,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU6286,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
OTU6287,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
OTU6288,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,
OTU6289,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
OTU6290,Bacteria,Chloroflexi,Dehalococcoidetes,Dehalococcoidales,,,
OTU6291,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU6292,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseococcus,
OTU6293,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,,
OTU6294,Bacteria,Proteobacteria,Betaproteobacteria,Ellin6067,,,
OTU6295,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,
OTU6296,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,
OTU6297,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
OTU6298,Bacteria,Proteobacteria,Alphaproteobacteria,Ellin329,,,
OTU6299,Bacteria,Chlorobi,OPB56,,,,
OTU6300,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
OTU6301,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,
OTU6302,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
OTU6303,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Saprospiraceae,,
OTU6304,Bacteria,Acidobacteria,DA052,Ellin6513,,,
OTU6305,Bacteria,WS3,PRR-12,LD1-PA13,,,
